Season,Episode,Title,Year of Release,IMDB Rating,Arco
4,129,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,2002,9.1,Alabasta Arc
4,130,Kiken na Kaori! Shichininme wa Nico Robin!,2002,8.9,Alabasta Arc
5,131,Hajimete no Kranke! Rumble Ball Hiwa,2002,7.1,Post-Alabasta Arc
5,132,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,2002,6.9,Post-Alabasta Arc
5,133,Uketsugareru Recipe! Curry no Tetsujin Sanji,2002,7.0,Post-Alabasta Arc
5,134,Sakasete Misemasu! Otoko Usopp Hasshakudama,2002,7.0,Post-Alabasta Arc
5,135,Uwasa no Kaizokugari! Sasurai no Kenshi Zoro,2002,7.1,Post-Alabasta Arc
5,136,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,2002,6.8,Goat Island Arc
5,137,Moukarimakka? Kanekashi Zenny no Yabou!,2002,6.9,Goat Island Arc
5,138,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,2002,6.7,Goat Island Arc
5,139,Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo,2003,7.1,Ruluka Island Arc
5,140,Eien no Kuni no Juunin! Pumpkin Kaizokudan!,2003,7.0,Ruluka Island Arc
5,141,Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!,2003,6.9,Ruluka Island Arc
5,142,Ransen Hisshi! Wetton no Yabou to Niji no Tou,2003,6.9,Ruluka Island Arc
5,143,Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e,2003,7.6,Ruluka Island Arc
6,144,Ubawareta Log! Salvage-ou Mashira!,2003,7.4,Jaya Arc
6,145,Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna,2003,7.7,Jaya Arc
6,146,Yume o Miruna! Azakeri no Machi Mock Town!,2003,8.1,Jaya Arc
6,147,Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou,2003,7.8,Jaya Arc
6,148,"Densetsu no Ichizoku! ""Usotsuki Norland""",2003,7.7,Jaya Arc
6,149,Kumo Kaji Ippai! Southbird o Oe!,2003,7.6,Jaya Arc
6,150,Yume wa Kanawanai!? Bellamy VS Saruyama Rengou,2003,8.2,Jaya Arc
6,151,Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige,2003,9.3,Jaya Arc
6,152,Fune wa Sora o Yuku! Knock-Up Stream ni Nore,2003,8.3,Jaya Arc
6,153,Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon,2003,8.0,Skypiea Arc
6,154,Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi,2003,7.7,Skypiea Arc
6,155,Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!,2003,7.6,Skypiea Arc
6,156,Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin,2003,7.7,Skypiea Arc
6,157,Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!,2003,7.6,Skypiea Arc
6,158,Lovely-doori no Wana! Zennounaru God Enel,2003,7.7,Skypiea Arc
6,159,Susume Karasumaru! Ikenie no Saidan o Mezase,2003,7.8,Skypiea Arc
6,160,Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!,2003,7.8,Skypiea Arc
6,161,Tama no Shiren no Kyoui! Mayoi no Mori no Shitou,2003,7.7,Skypiea Arc
6,162,Chopper Ayaushi! Motokami Tai Shinkan Shura,2003,7.9,Skypiea Arc
6,163,Makafushigi! Himo no Shiren to Koi no Shiren!?,2003,7.9,Skypiea Arc
6,164,Shandra no Hi o Tomose! Senshi Wiper,2003,7.9,Skypiea Arc
6,165,Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!,2003,7.8,Skypiea Arc
6,166,"Ougon Zen'yasai! ""Vearth"" e no Omoi!",2003,7.6,Skypiea Arc
6,167,God Enel Toujou!! Ikinokori e no Aubade,2003,7.7,Skypiea Arc
6,168,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,2003,7.7,Skypiea Arc
6,169,"Sutemi no Haigeki (Reject)! ""Senki"" Wiper no Kakugo",2003,8.1,Skypiea Arc
6,170,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,2003,8.1,Skypiea Arc
6,171,Unaru Burn Bazooka!! Luffy VS Senki Wiper,2003,7.8,Skypiea Arc
6,172,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,2003,7.9,Skypiea Arc
6,173,Muteki no Nouryoku! Akasareru Enel no Shoutai,2003,8.0,Skypiea Arc
6,174,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,2003,8.0,Skypiea Arc
6,175,Seizonritsu 0%!! Chopper VS Shinkan Ohm,2003,7.9,Skypiea Arc
6,176,Giant Jack o Nobore!! Jouzou Iseki no Shitou,2004,8.1,Skypiea Arc
6,177,Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!,2004,8.1,Skypiea Arc
6,178,Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!,2004,8.6,Skypiea Arc
6,179,Kuzure Yuku Jousou Iseki! Finale e no Quintet!!,2004,8.3,Skypiea Arc
6,180,Kodai Iseki no Taiketsu! God Enel no Mokuteki!!,2004,9.0,Skypiea Arc
6,181,Fairy Vearth e no Yabou Hakobune Maxim!!,2004,8.3,Skypiea Arc
6,182,Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!,2004,9.0,Skypiea Arc
