x,y
19,6.4
19,6.7
19,6.8
19,6.9
19,7.6
19,7.4
19,8.9
19,8.1
19,7.9
20,7.8
20,9.2
20,9.6
20,9.4
20,9.4
20,6.5
20,6.4
20,9.2
20,9.2
20,9.5
20,9.2
20,8.5
20,8.4
20,7.6
20,7.7
20,9.1
20,9.1
20,6.7
20,9.1
20,9.3
20,9.2
20,8.9
20,9.5
20,9.4
20,9.6
20,9.6
20,9.2
20,9.3
20,8.9
20,8.9
20,8.5
20,7.7
20,8.9
20,9.0
20,9.4
20,9.3
20,8.7
20,8.0
20,8.1
20,8.0
20,8.4
20,8.2
20,8.7
20,9.2
20,9.5
20,8.7
20,8.6
20,8.6
20,8.2
20,9.2
20,9.5
20,9.3
20,9.2
20,9.1
20,8.5
20,9.2
20,8.4
20,8.4
20,8.5
20,9.3
20,9.2
20,9.0
20,9.2
20,9.1
20,8.9
20,8.5
20,9.3
20,9.5
20,9.5
20,9.4
20,9.3
20,9.4
20,9.5
20,9.5
20,9.5
20,9.6
20,9.5
20,9.6
20,9.7
20,9.6
20,9.5
20,9.5
20,9.6
20,9.5
20,9.6
20,9.5
20,9.5
20,9.5
20,9.5
20,9.4
20,9.5
20,9.5
20,9.7
20,9.1
20,8.4
20,8.7
20,8.5
20,9.0
20,9.3
20,9.1
20,9.3
20,8.6
20,9.3
20,8.3
20,9.4
20,9.8
20,9.6
20,9.3
20,9.4
20,8.9
20,9.6
20,9.7
20,8.9
